updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"ARGALL, DAVID G.",,,,,REP,Berks,ocd-division/country:us/state:pa/county:berks,2221,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"LUKACH, STEPHEN M.",,,,,DEM,Berks,ocd-division/country:us/state:pa/county:berks,580,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"ARGALL, DAVID G.",,,,,REP,Carbon,ocd-division/country:us/state:pa/county:carbon,1471,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"LUKACH, STEPHEN M.",,,,,DEM,Carbon,ocd-division/country:us/state:pa/county:carbon,818,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"ARGALL, DAVID G.",,,,,REP,Lehigh,ocd-division/country:us/state:pa/county:lehigh,980,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"LUKACH, STEPHEN M.",,,,,DEM,Lehigh,ocd-division/country:us/state:pa/county:lehigh,405,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"ARGALL, DAVID G.",,,,,REP,Monroe,ocd-division/country:us/state:pa/county:monroe,854,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"LUKACH, STEPHEN M.",,,,,DEM,Monroe,ocd-division/country:us/state:pa/county:monroe,452,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"ARGALL, DAVID G.",,,,,REP,Northampton,ocd-division/country:us/state:pa/county:northampton,554,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"LUKACH, STEPHEN M.",,,,,DEM,Northampton,ocd-division/country:us/state:pa/county:northampton,280,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"ARGALL, DAVID G.",,,,,REP,Schuylkill,ocd-division/country:us/state:pa/county:schuylkill,14798,,,,,2009
2014-11-30 08:45:15.591000,pa-2009-03-03-special-general,2009-03-03 00:00:00,2009-03-03 00:00:00,general,certified,True,State Senate,29,"LUKACH, STEPHEN M.",,,,,DEM,Schuylkill,ocd-division/country:us/state:pa/county:schuylkill,10041,,,,,2009
