updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2014-11-30 08:22:07.694000,pa-2010-05-18-special-general,2010-05-18 00:00:00,2010-05-18 00:00:00,general,certified,True,State Representative,147,"TOEPEL, MARCY",,,,,REP,Montgomery,ocd-division/country:us/state:pa/county:montgomery,3785,,,,,2010
2014-11-30 08:22:07.694000,pa-2010-05-18-special-general,2010-05-18 00:00:00,2010-05-18 00:00:00,general,certified,True,State Representative,147,"DODGE, ROBERT",,,,,DEM,Montgomery,ocd-division/country:us/state:pa/county:montgomery,1940,,,,,2010
2014-11-30 08:22:07.694000,pa-2010-05-18-special-general,2010-05-18 00:00:00,2010-05-18 00:00:00,general,certified,True,State Representative,138,"HAHN, MARCIA",,,,,REP,Northampton,ocd-division/country:us/state:pa/county:northampton,4055,,,,,2010
2014-11-30 08:22:07.694000,pa-2010-05-18-special-general,2010-05-18 00:00:00,2010-05-18 00:00:00,general,certified,True,State Representative,138,"Miller, Cory D.",,,,,DEM,Northampton,ocd-division/country:us/state:pa/county:northampton,1158,,,,,2010
2014-11-30 08:22:07.694000,pa-2010-05-18-special-general,2010-05-18 00:00:00,2010-05-18 00:00:00,general,certified,True,State Representative,20,"RAVENSTAHL, ADAM J.",,,,,DEM,Allegheny,ocd-division/country:us/state:pa/county:allegheny,5645,,,,,2010
2014-11-30 08:22:07.694000,pa-2010-05-18-special-general,2010-05-18 00:00:00,2010-05-18 00:00:00,general,certified,True,State Representative,20,"DUBART, ALEX",,,,,REP,Allegheny,ocd-division/country:us/state:pa/county:allegheny,2479,,,,,2010
2014-11-30 08:22:07.694000,pa-2010-05-18-special-general,2010-05-18 00:00:00,2010-05-18 00:00:00,general,certified,True,State Representative,20,"PUTMAN, DARYL",,,,,LIB,Allegheny,ocd-division/country:us/state:pa/county:allegheny,864,,,,,2010
